
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics                                             Demo data                                           

   WhlTra  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
     [mm]     [mm]    [deg]    [deg]    [deg]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]      [%]    [deg]      [m]      [m]

    30.00   -20.00    -5.92    -5.75    -6.58    -3.16    -2.04    -5.43    -0.32     0.17    -0.49   -52.88    79.35    52.67    53.21
    30.00   -30.00    -8.82    -8.71    -6.96    -2.92    -5.16    -8.00    -0.71     0.11    -0.82   -14.95    82.25    35.43    36.03
    30.00   -40.00   -11.72   -11.70    -7.28    -2.64    -9.52   -10.46    -1.24     0.02    -1.26    -1.61    85.24    26.74    27.39
    30.00   -50.00   -14.64   -14.72    -7.54    -2.31   -15.11   -12.83    -1.90    -0.09    -1.81     4.61    88.31    21.49    22.20
    30.00   -60.00   -17.57   -17.78    -7.74    -1.93   -21.91   -15.12    -2.67    -0.21    -2.45     7.99    91.48    17.99    18.75
    30.00   -70.00   -20.53   -20.89    -7.88    -1.50   -29.90   -17.34    -3.54    -0.35    -3.19     9.94    94.75    15.48    16.29
    35.00     0.00    -0.14     0.14    -5.76    -3.52     0.40     0.14    -0.00     0.28    -0.28 ********    73.67 ******** ********
    35.00    10.00     2.77     3.03    -5.19    -3.65    -0.22     2.69     0.08    -0.26     0.34  -343.80    70.99   102.70   103.20
    35.00    20.00     5.69     5.92    -4.55    -3.76    -2.08     5.37     0.31    -0.23     0.54   -72.01    68.37    52.69    53.24
    35.00    30.00     8.63     8.80    -3.85    -3.86    -5.18     7.93     0.70    -0.16     0.87   -23.51    65.82    35.50    36.10
    35.00    40.00    11.61    11.69    -3.09    -3.97    -9.52    10.38     1.22    -0.08     1.30    -6.56    63.32    26.81    27.46
    35.00    50.00    14.61    14.59    -2.25    -4.09   -15.08    12.74     1.87     0.02     1.85     1.33    60.89    21.56    22.27
    35.00    60.00    17.66    17.51    -1.34    -4.25   -21.84    15.02     2.63     0.15     2.49     5.61    58.52    18.05    18.81
    35.00    70.00    20.74    20.46    -0.35    -4.44   -29.79    17.24     3.50     0.28     3.21     8.11    56.21    15.54    16.34
    35.00     0.00    -0.14     0.14    -5.76    -3.52     0.40    -0.14     0.00    -0.28     0.28 ********    73.67 ******** ********
    35.00   -10.00    -3.03    -2.77    -6.26    -3.36    -0.22    -2.69    -0.08     0.26    -0.34  -343.80    76.42   102.70   103.20
