
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics                                             Demo data                                           

   WhlTra  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
     [mm]     [mm]    [deg]    [deg]    [deg]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]      [%]    [deg]      [m]      [m]

    25.00    30.00     8.52     8.61     0.40    -4.06    -5.17     7.40     1.12    -0.09     1.21    -7.70    65.99    20.85    21.45
    25.00    40.00    11.45    11.44     1.17    -4.27    -9.56     9.52     1.93     0.01     1.92     0.55    63.49    15.73    16.39
    25.00    50.00    14.42    14.29     2.00    -4.51   -15.18    11.51     2.91     0.13     2.78     4.53    61.05    12.65    13.36
    25.00    60.00    17.42    17.15     2.91    -4.79   -22.02    13.38     4.04     0.27     3.77     6.78    58.67    10.59    11.35
    25.00    70.00    20.47    20.04     3.89    -5.13   -30.05    15.16     5.31     0.43     4.88     8.15    56.35     9.11     9.92
    25.00     0.00    -0.11     0.11    -1.50    -3.51     0.48    -0.11     0.00    -0.21     0.22 ********    73.87 ******** ********
    25.00   -10.00    -2.95    -2.75    -2.01    -3.32    -0.15    -2.62    -0.13     0.20    -0.33  -154.83    76.63    60.67    61.17
    25.00   -20.00    -5.78    -5.62    -2.46    -3.11    -2.03    -5.11    -0.51     0.16    -0.67   -30.56    79.46    30.99    31.54
    25.00   -30.00    -8.61    -8.52    -2.84    -2.88    -5.17    -7.40    -1.12     0.09    -1.21    -7.70    82.37    20.85    21.45
    25.00   -40.00   -11.44   -11.45    -3.17    -2.63    -9.56    -9.52    -1.93    -0.01    -1.92     0.55    85.36    15.73    16.39
    25.00   -50.00   -14.29   -14.42    -3.44    -2.34   -15.18   -11.51    -2.91    -0.13    -2.78     4.53    88.43    12.65    13.36
    25.00   -60.00   -17.15   -17.42    -3.64    -2.03   -22.02   -13.38    -4.04    -0.27    -3.77     6.78    91.60    10.59    11.35
    25.00   -70.00   -20.04   -20.47    -3.79    -1.68   -30.05   -15.16    -5.31    -0.43    -4.88     8.15    94.88     9.11     9.92
    30.00     0.00    -0.14     0.14    -1.63    -3.52     0.46     0.14    -0.00     0.27    -0.27 ********    73.77 ******** ********
    30.00    10.00     2.70     2.96    -1.06    -3.70    -0.17     2.58     0.13    -0.26     0.38  -206.52    71.08    60.39    60.89
    30.00    20.00     5.56     5.78    -0.43    -3.88    -2.04     5.06     0.50    -0.22     0.72   -42.95    68.46    31.00    31.55
    30.00    30.00     8.45     8.59     0.27    -4.07    -5.16     7.34     1.11    -0.15     1.25   -13.31    65.90    20.89    21.50
    30.00    40.00    11.36    11.41     1.04    -4.28    -9.52     9.46     1.90    -0.05     1.95    -2.72    63.40    15.78    16.44
    30.00    50.00    14.31    14.24     1.87    -4.52   -15.11    11.44     2.87     0.07     2.80     2.35    60.97    12.69    13.40
    30.00    60.00    17.29    17.09     2.78    -4.80   -21.91    13.30     3.99     0.21     3.78     5.19    58.59    10.62    11.39
    30.00    70.00    20.32    19.96     3.76    -5.13   -29.90    15.08     5.25     0.36     4.88     6.93    56.27     9.14     9.96
    30.00     0.00    -0.14     0.14    -1.63    -3.52     0.46     0.14    -0.00     0.27    -0.27 ********    73.77 ******** ********
    30.00   -10.00    -2.96    -2.70    -2.13    -3.33    -0.17    -2.58    -0.13     0.26    -0.38  -206.52    76.53    60.39    60.89
    30.00   -20.00    -5.78    -5.56    -2.58    -3.12    -2.04    -5.06    -0.50     0.22    -0.72   -42.95    79.35    31.00    31.55
    30.00   -30.00    -8.59    -8.45    -2.97    -2.89    -5.16    -7.34    -1.11     0.15    -1.25   -13.31    82.25    20.89    21.50
    30.00   -40.00   -11.41   -11.36    -3.29    -2.64    -9.52    -9.46    -1.90     0.05    -1.95    -2.72    85.24    15.78    16.44
    30.00   -50.00   -14.24   -14.31    -3.56    -2.35   -15.11   -11.44    -2.87    -0.07    -2.80     2.35    88.31    12.69    13.40
