
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           Demo data                                           

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]
    35.00   -10.00    56.30     4.90   -12.32    10.95    -2.32    -5.72    -5.09     0.70    26.63     7.46  2563.19     0.00
    35.00   -15.00    56.30     4.90   -12.32    10.95    -2.32    -5.72    -5.09     0.70    26.63     7.46  2563.19     0.00
    35.00   -20.00    56.30     4.90   -12.32    10.95    -2.32    -5.72    -5.09     0.70    26.63     7.46  2563.19     0.00
    35.00   -25.00    56.30     4.90   -12.32    10.95    -2.32    -5.72    -5.09     0.70    26.63     7.46  2563.19     0.00
    35.00   -30.00    56.30     4.90   -12.32    10.95    -2.32    -5.72    -5.09     0.70    26.63     7.46  2563.19     0.00
    35.00   -35.00    56.30     4.90   -12.32    10.95    -2.32    -5.72    -5.09     0.70    26.63     7.46  2563.19     0.00
    35.00   -40.00    56.30     4.90   -12.32    10.95    -2.32    -5.72    -5.09     0.70    26.63     7.46  2563.19     0.00
    40.00     0.00    47.06     4.56   -15.96    12.89    -2.11    -5.85    -5.14     0.73    30.37    10.22  2862.41     0.00
    40.00     5.00    47.06     4.56   -15.96    12.89    -2.11    -5.85    -5.14     0.73    30.37    10.22  2862.41     0.00
    40.00    10.00    41.48     4.38   -17.07    12.72    -1.52    -5.85    -5.18     0.68    30.59    11.83  2808.29    99.10
    40.00    15.00    30.08     3.98   -19.72    12.29     0.06    -5.86    -5.29     0.56    31.14    15.74  2672.53   359.24
    40.00    20.00    21.21     3.67   -22.26    11.86     1.80    -5.86    -5.40     0.44    31.70    19.56  2533.84   640.53
    40.00    25.00    14.15     3.41   -24.70    11.43     3.69    -5.87    -5.52     0.33    32.28    23.30  2392.48   941.69
    40.00    30.00     8.45     3.19   -27.08    10.99     5.71    -5.88    -5.64     0.22    32.86    26.96  2248.65  1261.65
    40.00    35.00     3.80     3.00   -29.39    10.56     7.86    -5.89    -5.77     0.11    33.45    30.54  2102.53  1599.46
    40.00    40.00     0.00     2.84   -31.64    10.12    10.12    -5.90    -5.90     0.00    34.05    34.05  1954.30  1954.30
    40.00     0.00    47.06     4.56   -15.96    12.89    -2.11    -5.85    -5.14     0.73    30.37    10.22  2862.41     0.00
    40.00    -5.00    47.06     4.56   -15.96    12.89    -2.11    -5.85    -5.14     0.73    30.37    10.22  2862.41     0.00
    40.00   -10.00    47.06     4.56   -15.96    12.89    -2.11    -5.85    -5.14     0.73    30.37    10.22  2862.41     0.00
    40.00   -15.00    47.06     4.56   -15.96    12.89    -2.11    -5.85    -5.14     0.73    30.37    10.22  2862.41     0.00
    40.00   -20.00    47.06     4.56   -15.96    12.89    -2.11    -5.85    -5.14     0.73    30.37    10.22  2862.41     0.00
    40.00   -25.00    47.06     4.56   -15.96    12.89    -2.11    -5.85    -5.14     0.73    30.37    10.22  2862.41     0.00
    40.00   -30.00    47.06     4.56   -15.96    12.89    -2.11    -5.85    -5.14     0.73    30.37    10.22  2862.41     0.00
    40.00   -35.00    47.06     4.56   -15.96    12.89    -2.11    -5.85    -5.14     0.73    30.37    10.22  2862.41     0.00
    40.00   -40.00    47.06     4.56   -15.96    12.89    -2.11    -5.85    -5.14     0.73    30.37    10.22  2862.41     0.00
     0.00     0.00    -0.00     5.45     5.45     0.00     0.00    -5.00    -5.00    -0.00     0.00     0.00   559.96   559.96
     0.00     5.00    37.61     5.21     3.00    -0.47     1.14    -5.00    -5.08    -0.13     0.41     3.97   458.73   806.00
     0.00    10.00   314.97     3.63    -0.76    -0.96     2.47    -5.00    -5.17    -0.25     0.84     7.86   353.39  1073.35
     0.00    15.00  -234.42     6.65     0.12    -1.46     3.97    -5.00    -5.27    -0.38     1.29    11.66   244.22  1360.89
     0.00    20.00  -128.00     6.02    -2.63    -1.97     5.62    -5.00    -5.37    -0.49     1.75    15.38   131.49  1667.60
     0.00    25.00  -101.41     5.83    -4.90    -2.49     7.42    -5.00    -5.48    -0.61     2.22    19.02    15.38  1992.59
     0.00    30.00   -71.95     5.31    -8.60    -2.48     9.14    -5.04    -5.60    -0.66     4.70    22.83     0.00  2276.05
     0.00    35.00   -56.30     4.90   -12.32    -2.32    10.95    -5.09    -5.72    -0.70     7.46    26.63     0.00  2563.19
     0.00    40.00   -47.06     4.56   -15.96    -2.11    12.89    -5.14    -5.85    -0.73    10.22    30.37     0.00  2862.41
