
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           Demo data                                           

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]
    30.00    35.00    -4.70     3.32   -24.87     7.83    10.42    -1.63    -1.75    -0.11    26.38    29.37  1410.59  1894.53
    30.00    40.00    -8.45     3.19   -27.08     7.46    12.75    -1.64    -1.88    -0.22    26.96    32.86  1266.88  2253.87
    30.00     0.00    72.72     5.33    -8.52    10.17    -1.89    -1.60    -1.04     0.66    22.82     4.60  2284.35     0.00
    30.00    -5.00    72.72     5.33    -8.52    10.17    -1.89    -1.60    -1.04     0.66    22.82     4.60  2284.35     0.00
    30.00   -10.00    72.72     5.33    -8.52    10.17    -1.89    -1.60    -1.04     0.66    22.82     4.60  2284.35     0.00
    30.00   -15.00    72.72     5.33    -8.52    10.17    -1.89    -1.60    -1.04     0.66    22.82     4.60  2284.35     0.00
    30.00   -20.00    72.72     5.33    -8.52    10.17    -1.89    -1.60    -1.04     0.66    22.82     4.60  2284.35     0.00
    30.00   -25.00    72.72     5.33    -8.52    10.17    -1.89    -1.60    -1.04     0.66    22.82     4.60  2284.35     0.00
    30.00   -30.00    72.72     5.33    -8.52    10.17    -1.89    -1.60    -1.04     0.66    22.82     4.60  2284.35     0.00
    30.00   -35.00    72.72     5.33    -8.52    10.17    -1.89    -1.60    -1.04     0.66    22.82     4.60  2284.35     0.00
    30.00   -40.00    72.72     5.33    -8.52    10.17    -1.89    -1.60    -1.04     0.66    22.82     4.60  2284.35     0.00
    35.00     0.00    56.76     4.92   -12.26    12.14    -1.52    -1.72    -1.09     0.70    26.61     7.37  2571.45     0.00
    35.00     5.00    56.76     4.92   -12.26    12.14    -1.52    -1.72    -1.09     0.70    26.61     7.37  2571.45     0.00
    35.00    10.00    39.92     4.43   -14.99    11.81     0.04    -1.72    -1.18     0.58    27.13    11.29  2443.96   237.01
    35.00    15.00    27.42     4.06   -17.61    11.46     1.78    -1.73    -1.29     0.45    27.67    15.19  2310.91   500.25
    35.00    20.00    17.94     3.76   -20.11    11.12     3.67    -1.74    -1.40     0.34    28.23    19.00  2174.83   784.38
    35.00    25.00    10.56     3.52   -22.53    10.77     5.69    -1.74    -1.51     0.22    28.79    22.73  2035.96  1088.18
    35.00    30.00     4.70     3.32   -24.87    10.42     7.83    -1.75    -1.63     0.11    29.37    26.38  1894.53  1410.59
    35.00    35.00     0.00     3.15   -27.16    10.07    10.07    -1.76    -1.76     0.00    29.95    29.95  1750.71  1750.71
    35.00    40.00    -3.80     3.00   -29.39     9.73    12.42    -1.77    -1.89    -0.11    30.54    33.45  1604.67  2107.74
    35.00     0.00    56.76     4.92   -12.26    12.14    -1.52    -1.72    -1.09     0.70    26.61     7.37  2571.45     0.00
    35.00    -5.00    56.76     4.92   -12.26    12.14    -1.52    -1.72    -1.09     0.70    26.61     7.37  2571.45     0.00
    35.00   -10.00    56.76     4.92   -12.26    12.14    -1.52    -1.72    -1.09     0.70    26.61     7.37  2571.45     0.00
    35.00   -15.00    56.76     4.92   -12.26    12.14    -1.52    -1.72    -1.09     0.70    26.61     7.37  2571.45     0.00
    35.00   -20.00    56.76     4.92   -12.26    12.14    -1.52    -1.72    -1.09     0.70    26.61     7.37  2571.45     0.00
    35.00   -25.00    56.76     4.92   -12.26    12.14    -1.52    -1.72    -1.09     0.70    26.61     7.37  2571.45     0.00
    35.00   -30.00    56.76     4.92   -12.26    12.14    -1.52    -1.72    -1.09     0.70    26.61     7.37  2571.45     0.00
    35.00   -35.00    56.76     4.92   -12.26    12.14    -1.52    -1.72    -1.09     0.70    26.61     7.37  2571.45     0.00
    35.00   -40.00    56.76     4.92   -12.26    12.14    -1.52    -1.72    -1.09     0.70    26.61     7.37  2571.45     0.00
    40.00     0.00    47.38     4.57   -15.90    14.22    -1.09    -1.85    -1.14     0.73    30.36    10.13  2870.63     0.00
    40.00     5.00    47.38     4.57   -15.90    14.22    -1.09    -1.85    -1.14     0.73    30.36    10.13  2870.63     0.00
    40.00    10.00    41.48     4.38   -17.07    14.08    -0.39    -1.85    -1.19     0.68    30.59    11.83  2813.57   104.38
    40.00    15.00    30.08     3.98   -19.72    13.75     1.37    -1.86    -1.29     0.56    31.14    15.74  2677.80   364.51
    40.00    20.00    21.20     3.67   -22.26    13.42     3.27    -1.86    -1.40     0.44    31.70    19.56  2539.10   645.78
    40.00    25.00    14.15     3.41   -24.70    13.08     5.31    -1.87    -1.52     0.33    32.28    23.30  2397.72   946.94
    40.00    30.00     8.45     3.19   -27.08    12.75     7.46    -1.88    -1.64     0.22    32.86    26.96  2253.87  1266.88
    40.00    35.00     3.80     3.00   -29.39    12.42     9.73    -1.89    -1.77     0.11    33.45    30.54  2107.74  1604.67
    40.00    40.00     0.00     2.84   -31.64    12.09    12.09    -1.90    -1.90     0.00    34.06    34.06  1959.49  1959.49
    40.00     0.00    47.38     4.57   -15.90    14.22    -1.09    -1.85    -1.14     0.73    30.36    10.13  2870.63     0.00
    40.00    -5.00    47.38     4.57   -15.90    14.22    -1.09    -1.85    -1.14     0.73    30.36    10.13  2870.63     0.00
    40.00   -10.00    47.38     4.57   -15.90    14.22    -1.09    -1.85    -1.14     0.73    30.36    10.13  2870.63     0.00
    40.00   -15.00    47.38     4.57   -15.90    14.22    -1.09    -1.85    -1.14     0.73    30.36    10.13  2870.63     0.00
    40.00   -20.00    47.38     4.57   -15.90    14.22    -1.09    -1.85    -1.14     0.73    30.36    10.13  2870.63     0.00
    40.00   -25.00    47.38     4.57   -15.90    14.22    -1.09    -1.85    -1.14     0.73    30.36    10.13  2870.63     0.00
    40.00   -30.00    47.38     4.57   -15.90    14.22    -1.09    -1.85    -1.14     0.73    30.36    10.13  2870.63     0.00
    40.00   -35.00    47.38     4.57   -15.90    14.22    -1.09    -1.85    -1.14     0.73    30.36    10.13  2870.63     0.00
